ministerio,area,proyecto,enlace,tipo_ayuda,evento,bajada
Ministerio de Modernización,,Visualización de Ruidos Molestos,http://gcba.cartodb.com/viz/9d275b1c-c8fb-11e4-bbb7-0e9d821ea90d/embed_map,Producto,,Visualización de la evolución de los reclamos por ruidos molestos durante el 2014.
Ministerio de Desarrollo Social,DG Mujer,Viz Acoso Callejero,http://buenosaires.gob.ar/acosocallejero,Producto,,"Visualización realizada con datos de la primer encuesta oficial sobre percepción de Acoso Callejero en la Ciudad de Buenos Aires, realizada por la Dirección General de la Mujer junto al Programa de Estudios de Opinión Pública de la Universidad Abierta Interamericana."
Ministerio de Desarrollo Económico,DG Industrias Creativas,Viz BA Set de Filmaciones,http://gcba.cartodb.com/viz/a754d02c-c448-11e4-a679-0e853d047bba/embed_map,Producto,,Un mapa con las manzanas más filmadas de la Ciudad según BASet.
Jefatura de Gabinete,Subsecretaría de Transporte,Viz Eco Bici,http://dump.jazzido.com/vizbici/,Producto,,Recorridos realizados por las bicicletas públicas de la Ciudad de Buenos Aires.
Subterráneos de Buenos Aires,,Viz Estaciones Subtes A y C,http://www.buenosaires.gob.ar/sites/gcaba/files/subteba_viz6.png,Producto,,Analizamos y visualizamos el flujo diario de más de 300 mil usuarios de las líneas A y C del Subte. Identificamos patrones y tendencias para poder tomar mejores decisiones a la hora de viajar. 
Ministerio de Educación,DG Tecnología Educativa,Viz Inscripción Online,http://cdn2.buenosaires.gob.ar/dgiga/modernizacion/inscripcion-escolar-2015/,Producto,,Visualización realizada con datos del resultado de la inscripción online para el ciclo lectivo 2015
Ministerio de Ambiente y Espacio Público,DG Espacios Verdes,Viz Jacarandá,http://gcba.github.io/visualizaciones-gcbadata/mapa-jacaranda/,Producto,,"Visualización de los más de 11 mil jacarandás  en la Ciudad, según el último Censo de Arbolado Público."
Jefatura de Gabinete,Subsecretaría de Asuntos Públicos,Viz Presupuesto 2014/2015,http://gcba.github.io/presupuesto-gcba/,Producto,,Visualización que refleja a dónde van nuestros impuestos recorriendo el presupuesto de la Ciudad y la asignación de los recursos públicos.
Ministerio de Hacienda,DG Presupuesto,Viz Presupuesto 2014/2015,http://gcba.github.io/presupuesto-gcba/,Producto,,Visualización que refleja a dónde van nuestros impuestos recorriendo el presupuesto de la Ciudad y la asignación de los recursos públicos.
Ministerio de Ambiente y Espacio Público,Agencia de Protección Ambiental,Medición en tiempo real de consumo de energía,,Asesoría y Colaboración,,Se asesoró a la DG para la evaluación técnica y contratación de sensores de medición de consumo eléctrico en el CIFA. Los datos se integran a la API Sensores con actualización cada un minuto.
Ministerio de Desarrollo Económico,CMD Lab,Plano Háptico Copidis,,Asesoría y Colaboración,,"Se colaboró en el desarrollo electrónico del Plano Háptico diseñado por el CMD Lab. Este plano permitirá a personas con discapacidades (chequear si comunicacionalmente es correcto el término ""discapacidades) a poder recorrer las oficinas de COPIDIS mediante estímulos táctiles, lumínicos y sonoros de forma interactiva."
Subterráneos de Buenos Aires,,Viz Subte - 100 años de subte,http://cdn2.buenosaires.gob.ar/centenario-subte/,Producto,,Viaje interactivo a lo largo de un siglo de vida de la red de Subte de la Ciudad de Buenos Aires.
Ministerio de Gobierno,DG Reforma Política,Vota Mundial,http://www.infobae.com/2014/06/10/1571640-la-ciudad-se-sube-la-fiebre-el-mundial-un-juego-online-que-capacita-boleta-unica,Producto,,A través del desarrollo de una visualización interactiva generamos un simulador de votación durante el Mundial de Fútbol con el objetivo de capacitar a los vecinos sobre el uso de la nueva Boleta Única.
